polo0,polo1,polo2,polo3,polo4,polo5,polo6,polo7,polo8,polo9,polo10
-0.19602,0.19602,-0.14821,0.14821,-0.1044,0.1044,-0.06218,0.06218,-0.020659,0.020659,0
-0.19602,0.19602,-0.14831,0.14831,-0.10284,0.10284,-0.067735,0.067735,-0.00060844,0.00060844,0
-0.19602,0.19602,-0.14831,0.14831,-0.10284,0.10284,-0.06774,0.06774,0,0,0
-0.19602,0.19602,-0.14831,0.14831,-0.10283,0.10283,-0.067745,0.067745,0,0,0
-0.19602,0.19602,-0.14839,0.14839,-0.10136,0.10136,-0.071742,0.071742,0,0,0
-0.19603,0.19603,-0.14851,0.14851,-0.098749,0.098749,-0.077481,0.077481,0,0,0
-0.19603,0.19603,-0.14854,0.14854,-0.098198,0.098198,-0.078612,0.078612,0,0,0
-0.19603,0.19603,-0.14856,0.14856,-0.097724,0.097724,-0.079645,0.079645,0,0,0
-0.19603,0.19603,-0.14859,0.14859,-0.0974,0.0974,-0.080507,0.080507,0,0,0
-0.19603,0.19603,-0.14861,0.14861,-0.097282,0.097282,-0.081146,0.081146,0,0,0
-0.19603,0.19603,-0.14864,0.14864,-0.097362,0.097362,-0.081569,0.081569,0,0,0
-0.19603,0.19603,-0.14866,0.14866,-0.097586,0.097586,-0.081831,0.081831,0,0,0
-0.19603,0.19603,-0.14871,0.14871,-0.098261,0.098261,-0.082086,0.082086,0,0,0
-0.19604,0.19604,-0.1488,0.1488,-0.099603,0.099603,-0.0822,0.0822,0,0,0
-0.19604,0.19604,-0.14888,0.14888,-0.10093,0.10093,-0.082206,0.082206,0,0,0
-0.19604,0.19604,-0.14905,0.14905,-0.10335,0.10335,-0.082171,0.082171,0,0,0
-0.19606,0.19606,-0.14959,0.14959,-0.10962,0.10962,-0.082155,0.082155,0,0,0
-0.19609,0.19609,-0.15043,0.15043,-0.11678,0.11678,-0.082303,0.082303,0,0,0
-0.19615,0.19615,-0.15168,0.15168,-0.12482,0.12482,-0.08258,0.08258,0,0,0
-0.19625,0.19625,-0.15342,0.15342,-0.13375,0.13375,-0.082943,0.082943,0,0,0
-0.19645,0.19645,-0.15564,0.15564,-0.14362,0.14362,-0.083364,0.083364,0,0,0
-0.19683,0.19683,-0.15828,0.15828,-0.1545,0.1545,-0.083829,0.083829,0,0,0
-0.19766,0.19766,-0.16104,0.16104,-0.16651,0.16651,-0.084333,0.084333,0,0,0
-0.19951,0.19951,-0.16333,0.16333,-0.17976,0.17976,-0.084876,0.084876,0,0,0
-0.20126,0.20126,-0.16412,0.16412,-0.18785,0.18785,-0.085201,0.085201,0,0,0
-0.20297,0.20297,-0.16446,0.16446,-0.1944,0.1944,-0.08546,0.08546,0,0,0
-0.20556,0.20556,-0.16466,0.16466,-0.20335,0.20335,-0.085808,0.085808,0,0,0
-0.20775,0.20775,-0.16471,0.16471,-0.2106,0.2106,-0.086085,0.086085,0,0,0
-0.21074,0.21074,-0.1647,0.1647,-0.22048,0.22048,-0.086455,0.086455,0,0,0
-0.21311,0.21311,-0.16469,0.16469,-0.22849,0.22849,-0.08675,0.08675,0,0,0
-0.21868,0.21868,-0.16472,0.16472,-0.24826,0.24826,-0.087453,0.087453,0,0,0
-0.22428,0.22428,-0.16488,0.16488,-0.27004,0.27004,-0.088191,0.088191,0,0,0
-0.22888,0.22888,-0.1651,0.1651,-0.28975,0.28975,-0.088826,0.088826,0,0,0
-0.22889,0.22889,-0.1651,0.1651,-0.2898,0.2898,-0.088827,0.088827,-1.6859e-09,0,1.6859e-09
-0.22891,0.22891,-0.1651,0.1651,-0.28985,0.28985,-0.088829,0.088829,-0.00053223,0,0.00053223
-0.22981,0.22981,-0.16515,0.16515,-0.29396,0.29396,-0.088957,0.088957,-0.004964,0,0.004964
-0.23146,0.23146,-0.16526,0.16526,-0.30165,0.30165,-0.089195,0.089195,-0.0082464,0,0.0082464
-0.23286,0.23286,-0.16536,0.16536,-0.30845,0.30845,-0.089401,0.089401,-0.010207,0,0.010207
-0.23517,0.23517,-0.16553,0.16553,-0.32011,0.32011,-0.089746,0.089746,-0.012724,0,0.012724
-0.23808,0.23808,-0.16578,0.16578,-0.33586,0.33586,-0.090199,0.090199,-0.015244,0,0.015244
-0.24026,0.24026,-0.16599,0.16599,-0.34847,0.34847,-0.090549,0.090549,-0.016835,0,0.016835
-0.24498,0.24498,-0.16649,0.16649,-0.3789,0.3789,-0.091359,0.091359,-0.019762,0,0.019762
-0.24922,0.24922,-0.16702,0.16702,-0.41104,0.41104,-0.092168,0.092168,-0.022016,0,0.022016
-0.25287,0.25287,-0.16754,0.16754,-0.44426,0.44426,-0.092967,0.092967,-0.02382,0,0.02382
-0.25582,0.25582,-0.16805,0.16805,-0.47748,0.47748,-0.093752,0.093752,-0.025297,0,0.025297
-0.25798,0.25798,-0.16852,0.16852,-0.50914,0.50914,-0.094515,0.094515,-0.026525,0,0.026525
-0.25926,0.25926,-0.16896,0.16896,-0.53702,0.53702,-0.095254,0.095254,-0.02756,0,0.02756
-0.25956,0.25956,-0.16918,0.16918,-0.55007,0.55007,-0.095659,0.095659,-0.028074,0,0.028074
-0.25958,0.25958,-0.16935,0.16935,-0.55834,0.55834,-0.095965,0.095965,-0.02844,0,0.02844
-0.25891,0.25891,-0.16969,0.16969,-0.56988,0.56988,-0.096645,0.096645,-0.029195,0,0.029195
-0.25808,0.25808,-0.16987,0.16987,-0.57089,0.57089,-0.097016,0.097016,-0.029575,0,0.029575
-0.25722,0.25722,-0.17001,0.17001,-0.56856,0.56856,-0.097295,0.097295,-0.029848,0,0.029848
-0.25452,0.25452,-0.1703,0.1703,-0.55228,0.55228,-0.097912,0.097912,-0.030416,0,0.030416
-0.25257,0.25257,-0.17047,0.17047,-0.53634,0.53634,-0.098247,0.098247,-0.030706,0,0.030706
-0.25086,0.25086,-0.1706,0.1706,-0.52098,0.52098,-0.098498,0.098498,-0.030915,0,0.030915
-0.24839,0.24839,-0.17079,0.17079,-0.49755,0.49755,-0.098815,0.098815,-0.031169,0,0.031169
-0.24629,0.24629,-0.17094,0.17094,-0.47729,0.47729,-0.099053,0.099053,-0.031354,0,0.031354
-0.24089,0.24089,-0.17135,0.17135,-0.42606,0.42606,-0.099577,0.099577,-0.031743,0,0.031743
-0.23475,0.23475,-0.17191,0.17191,-0.37286,0.37286,-0.10007,0.10007,-0.03209,0,0.03209
-0.22795,0.22795,-0.17267,0.17267,-0.32225,0.32225,-0.10054,0.10054,-0.0324,0,0.0324
-0.22053,0.22053,-0.17377,0.17377,-0.27695,0.27695,-0.10098,0.10098,-0.032679,0,0.032679
-0.21243,0.21243,-0.17542,0.17542,-0.23795,0.23795,-0.1014,0.1014,-0.032931,0,0.032931
-0.20326,0.20326,-0.17818,0.17818,-0.2051,0.2051,-0.1018,0.1018,-0.033159,0,0.033159
-0.19389,0.19389,-0.18227,0.18227,-0.18166,0.18166,-0.10212,0.10212,-0.033336,0,0.033336
-0.19389,0.19389,-0.18227,0.18227,-0.18166,0.18166,-0.10212,0.10212,-0.033336,0,0.033336
-0.19388,0.19388,-0.18227,0.18227,-0.18161,0.18161,-0.10212,0.10212,-0.033337,0,0.033337
-0.19388,0.19388,-0.18227,0.18227,-0.18161,0.18161,-0.10212,0.10212,-0.033337,0,0.033337
-0.19386,0.19386,-0.18227,0.18227,-0.18156,0.18156,-0.10212,0.10212,-0.033337,0,0.033337
-0.19386,0.19386,-0.18227,0.18227,-0.18156,0.18156,-0.10212,0.10212,-0.033337,0,0.033337
-0.1934,0.1934,-0.18181,0.18181,-0.17774,0.17774,-0.10217,0.10217,-0.033367,0,0.033367
-0.1946,0.1946,-0.1747,0.1747,-0.15501,0.15501,-0.10252,0.10252,-0.033557,0,0.033557
-0.19526,0.19526,-0.16859,0.16859,-0.13609,0.13609,-0.10282,0.10282,-0.033731,0,0.033731
-0.19559,0.19559,-0.16338,0.16338,-0.12029,0.12029,-0.10306,0.10306,-0.033892,0,0.033892
-0.19577,0.19577,-0.15902,0.15902,-0.107,0.107,-0.10319,0.10319,-0.03404,0,0.03404
-0.19587,0.19587,-0.15555,0.15555,-0.095759,0.095759,-0.10317,0.10317,-0.034176,0,0.034176
-0.19593,0.19593,-0.15296,0.15296,-0.086175,0.086175,-0.10302,0.10302,-0.0343,0,0.0343
-0.19597,0.19597,-0.15117,0.15117,-0.077963,0.077963,-0.10284,0.10284,-0.034401,0,0.034401
-0.19599,0.19599,-0.15001,0.15001,-0.070945,0.070945,-0.10278,0.10278,-0.034445,0,0.034445
-0.196,0.196,-0.14929,0.14929,-0.065143,0.065143,-0.10293,0.10293,-0.034315,0,0.034315
-0.19601,0.19601,-0.14886,0.14886,-0.060968,0.060968,-0.10324,0.10324,-0.033613,0,0.033613
-0.19601,0.19601,-0.1486,0.1486,-0.05943,0.05943,-0.10357,0.10357,-0.031362,0,0.031362
-0.19602,0.19602,-0.14823,0.14823,-0.061998,0.061998,-0.10435,0.10435,-0.021357,0,0.021357
-0.19602,0.19602,-0.14821,0.14821,-0.06218,0.06218,-0.1044,0.1044,-0.020659,0,0.020659
