tempo,amplitude
0,0
3.1554e-30,0
7.3759e-06,0
1.4752e-05,0
2.2128e-05,0
5.4938e-05,0
8.7749e-05,0
0.00012056,0
0.00015337,0
0.00030963,0
0.00046588,0
0.00062214,0
0.0007784,0
0.001236,0
0.0016936,0
0.0021512,0
0.0026088,0
0.0030664,0
0.0041322,0
0.005198,0
0.0062638,0
0.0073296,0
0.0083954,0
0.0094612,0
0.011875,0
0.014289,0
0.016704,0
0.019118,0
0.021532,0
0.023946,0
0.028568,0
0.03319,0
0.037811,0
0.042433,0
0.047055,0
0.051677,0
0.063135,0
0.074592,0
0.086049,0
0.097507,0
0.10896,0
0.12042,0
0.15081,0
0.1812,0
0.21159,0
0.24198,0
0.27237,0
0.41717,0
0.56198,0
0.70679,0
0.8516,0
0.99641,0
1,0
1,0
1,0
1.0378,0
1.0756,0
1.1133,0
1.1511,0
1.2628,0
1.3745,0
1.4862,0
1.5979,0
1.8109,0
2.0239,0
2.237,0
2.45,0
2.663,0
3.2167,0
3.7703,0
4.324,0
4.8776,0
5.4313,0
6.2462,0
7.061,0
7.8759,0
8.6908,0
9.5056,0
10.506,0
11.506,0
12.506,0
13.506,0
14.506,0
15.506,0
16.506,0
17.506,0
18.506,0
19.506,0
20.506,0
21.506,0
22.506,0
23.506,0
24.506,0
25.506,0
26.506,0
27.506,0
28.506,0
29.506,0
30.506,0
31.506,0
32.506,0
33.506,0
34.506,0
35.506,0
36.506,0
37.506,0
38.506,0
39.506,0
40.506,0
41.506,0
42.506,0
43.506,0
44.506,0
45.506,0
46.506,0
47.506,0
48.506,0
49.506,0
50.506,0
51.506,0
52.506,0
53.506,0
54.506,0
55.506,0
56.506,0
57.506,0
58.506,0
59.506,0
60.506,0
61.506,0
62.506,0
63.506,0
64.506,0
65.506,0
66.506,0
67.506,0
68.506,0
69.506,0
70.506,0
71.506,0
72.506,0
73.506,0
74.506,0
75.506,0
76.506,0
77.506,0
78.506,0
79.506,0
80.506,0
81.506,0
82.506,0
83.506,0
84.506,0
85.506,0.018564
86.506,0.054505
87.506,0.089406
88.506,0.12336
89.506,0.15635
90.506,0.18836
91.506,0.21949
92.506,0.24976
93.506,0.27919
94.506,0.30772
95.506,0.33542
96.506,0.36232
97.506,0.38844
98.506,0.41379
99.506,0.43839
100.51,0.46228
101.51,0.48545
102.51,0.50793
103.51,0.52975
104.51,0.55091
105.51,0.57143
106.51,0.59133
107.51,0.61062
108.51,0.62933
109.51,0.64746
110.51,0.66503
111.51,0.68206
112.51,0.69856
113.51,0.71454
114.51,0.73002
115.51,0.74502
116.51,0.75953
117.51,0.77358
118.51,0.78718
119.51,0.80034
120.51,0.81307
121.51,0.82538
122.51,0.83729
123.51,0.84881
124.51,0.85994
125.51,0.8707
126.51,0.88109
127.51,0.89114
128.51,0.90084
129.51,0.9102
130.51,0.91924
131.51,0.92796
132.51,0.93638
133.51,0.9445
134.51,0.95232
135.51,0.95987
136.51,0.96714
137.51,0.97414
138.51,0.98088
139.51,0.98738
140.51,0.99362
141.51,0.99963
142.51,1.0054
143.51,1.011
144.51,1.0163
145.51,1.0214
146.51,1.0263
147.51,1.0311
148.51,1.0356
149.51,1.0399
150.51,1.0441
151.51,1.048
152.51,1.0519
153.51,1.0555
154.51,1.059
155.51,1.0623
156.51,1.0655
157.51,1.0685
158.51,1.0713
159.51,1.0741
160.51,1.0767
161.51,1.0792
162.51,1.0815
163.51,1.0837
164.51,1.0858
165.51,1.0878
166.51,1.0897
167.51,1.0915
168.51,1.0931
169.51,1.0947
170.51,1.0962
171.51,1.0976
172.51,1.0988
173.51,1.1
174.51,1.1011
175.51,1.1022
176.51,1.1031
177.51,1.104
178.51,1.1048
179.51,1.1055
180.51,1.1062
181.51,1.1067
182.51,1.1073
183.51,1.1077
184.51,1.1081
185.51,1.1085
186.51,1.1088
187.51,1.109
188.51,1.1092
189.51,1.1093
190.51,1.1094
191.51,1.1094
192.51,1.1094
193.51,1.1094
194.51,1.1093
195.51,1.1091
196.51,1.109
197.51,1.1088
198.51,1.1085
199.51,1.1082
200.51,1.1079
201.51,1.1076
202.51,1.1072
203.51,1.1068
204.51,1.1064
205.51,1.106
206.51,1.1055
207.51,1.105
208.51,1.1045
209.51,1.104
210.51,1.1034
211.51,1.1028
212.51,1.1022
213.51,1.1016
214.51,1.101
215.51,1.1003
216.51,1.0997
217.51,1.099
218.51,1.0983
219.51,1.0976
220.51,1.0969
221.51,1.0962
222.51,1.0954
223.51,1.0947
224.51,1.094
225.51,1.0932
226.51,1.0924
227.51,1.0917
228.51,1.0909
229.51,1.0901
230.51,1.0893
231.51,1.0885
232.51,1.0877
233.51,1.0869
234.51,1.0861
235.51,1.0853
236.51,1.0845
237.51,1.0837
238.51,1.0829
239.51,1.082
240.51,1.0812
241.51,1.0804
242.51,1.0796
243.51,1.0788
244.51,1.0779
245.51,1.0771
246.51,1.0763
247.51,1.0755
248.51,1.0747
249.51,1.0739
250.51,1.0731
251.51,1.0723
252.51,1.0715
253.51,1.0707
254.51,1.0699
255.51,1.0691
256.51,1.0683
257.51,1.0675
258.51,1.0667
259.51,1.0659
260.51,1.0651
261.51,1.0644
262.51,1.0636
263.51,1.0628
264.51,1.0621
265.51,1.0613
266.51,1.0606
267.51,1.0598
268.51,1.0591
269.51,1.0584
270.51,1.0576
271.51,1.0569
272.51,1.0562
273.51,1.0555
274.51,1.0548
275.51,1.0541
276.51,1.0534
277.51,1.0527
278.51,1.052
279.51,1.0513
280.51,1.0507
281.51,1.05
282.51,1.0493
283.51,1.0487
284.51,1.048
285.51,1.0474
286.51,1.0468
287.51,1.0461
288.51,1.0455
289.51,1.0449
290.51,1.0443
291.51,1.0437
292.51,1.0431
293.51,1.0425
294.51,1.0419
295.51,1.0413
296.51,1.0407
297.51,1.0402
298.51,1.0396
299.51,1.039
300.51,1.0385
301.51,1.0379
302.51,1.0374
303.51,1.0369
304.51,1.0363
305.51,1.0358
306.51,1.0353
307.51,1.0348
308.51,1.0343
309.51,1.0338
310.51,1.0333
311.51,1.0328
312.51,1.0323
313.51,1.0319
314.51,1.0314
315.51,1.0309
316.51,1.0305
317.51,1.03
318.51,1.0296
319.51,1.0291
320.51,1.0287
321.51,1.0283
322.51,1.0279
323.51,1.0274
324.51,1.027
325.51,1.0266
326.51,1.0262
327.51,1.0258
328.51,1.0254
329.51,1.025
330.51,1.0247
331.51,1.0243
332.51,1.0239
333.51,1.0235
334.51,1.0232
335.51,1.0228
336.51,1.0225
337.51,1.0221
338.51,1.0218
339.51,1.0214
340.51,1.0211
341.51,1.0208
342.51,1.0204
343.51,1.0201
344.51,1.0198
345.51,1.0195
346.51,1.0192
347.51,1.0189
348.51,1.0186
349.51,1.0183
350.51,1.018
351.51,1.0177
352.51,1.0174
353.51,1.0171
354.51,1.0169
355.51,1.0166
356.51,1.0163
357.51,1.0161
358.51,1.0158
359.51,1.0156
360.51,1.0153
361.51,1.0151
362.51,1.0148
363.51,1.0146
364.51,1.0143
365.51,1.0141
366.51,1.0139
367.51,1.0136
368.51,1.0134
369.51,1.0132
370.51,1.013
371.51,1.0128
372.51,1.0126
373.51,1.0123
374.51,1.0121
375.51,1.0119
376.51,1.0117
377.51,1.0115
378.51,1.0114
379.51,1.0112
380.51,1.011
381.51,1.0108
382.51,1.0106
383.51,1.0104
384.51,1.0103
385.51,1.0101
386.51,1.0099
387.51,1.0098
388.51,1.0096
389.51,1.0094
390.51,1.0093
391.51,1.0091
392.51,1.009
393.51,1.0088
394.51,1.0087
395.51,1.0085
396.51,1.0084
397.51,1.0082
398.51,1.0081
399.51,1.0079
400.51,1.0078
401.51,1.0077
402.51,1.0075
403.51,1.0074
404.51,1.0073
405.51,1.0072
406.51,1.007
407.51,1.0069
408.51,1.0068
409.51,1.0067
410.51,1.0066
411.51,1.0064
412.51,1.0063
413.51,1.0062
414.51,1.0061
415.51,1.006
416.51,1.0059
417.51,1.0058
418.51,1.0057
419.51,1.0056
420.51,1.0055
421.51,1.0054
422.51,1.0053
423.51,1.0052
424.51,1.0051
425.51,1.005
426.51,1.0049
427.51,1.0049
428.51,1.0048
429.51,1.0047
430.51,1.0046
431.51,1.0045
432.51,1.0044
433.51,1.0044
434.51,1.0043
435.51,1.0042
436.51,1.0041
437.51,1.0041
438.51,1.004
439.51,1.0039
440.51,1.0038
441.51,1.0038
442.51,1.0037
443.51,1.0036
444.51,1.0036
445.51,1.0035
446.51,1.0034
447.51,1.0034
448.51,1.0033
449.51,1.0033
450.51,1.0032
451.51,1.0031
452.51,1.0031
453.51,1.003
454.51,1.003
455.51,1.0029
456.51,1.0029
457.51,1.0028
458.51,1.0028
459.51,1.0027
460.51,1.0027
461.51,1.0026
462.51,1.0026
463.51,1.0025
464.51,1.0025
465.51,1.0024
466.51,1.0024
467.51,1.0023
468.51,1.0023
469.51,1.0023
470.51,1.0022
471.51,1.0022
472.51,1.0021
473.51,1.0021
474.51,1.0021
475.51,1.002
476.51,1.002
477.51,1.0019
478.51,1.0019
479.51,1.0019
480.51,1.0018
481.51,1.0018
482.51,1.0018
483.51,1.0017
484.51,1.0017
485.51,1.0017
486.51,1.0016
487.51,1.0016
488.51,1.0016
489.51,1.0015
490.51,1.0015
491.51,1.0015
492.51,1.0015
493.51,1.0014
494.51,1.0014
495.51,1.0014
496.51,1.0014
497.51,1.0013
498.51,1.0013
499.51,1.0013
500.51,1.0013
501.51,1.0012
502.51,1.0012
503.51,1.0012
504.51,1.0012
505.51,1.0011
506.51,1.0011
507.51,1.0011
508.51,1.0011
509.51,1.0011
510.51,1.001
511.51,1.001
512.51,1.001
513.51,1.001
514.51,1.001
515.51,1.0009
516.51,1.0009
517.51,1.0009
518.51,1.0009
519.51,1.0009
520.51,1.0009
521.51,1.0008
522.51,1.0008
523.51,1.0008
524.51,1.0008
525.51,1.0008
526.51,1.0008
527.51,1.0007
528.51,1.0007
529.51,1.0007
530.51,1.0007
531.51,1.0007
532.51,1.0007
533.51,1.0007
534.51,1.0006
535.51,1.0006
536.51,1.0006
537.51,1.0006
538.51,1.0006
539.51,1.0006
540.51,1.0006
541.51,1.0006
542.51,1.0006
543.51,1.0005
544.51,1.0005
545.51,1.0005
546.51,1.0005
547.51,1.0005
548.51,1.0005
549.51,1.0005
550.51,1.0005
551.51,1.0005
552.51,1.0005
553.51,1.0004
554.51,1.0004
555.51,1.0004
556.51,1.0004
557.51,1.0004
558.51,1.0004
559.51,1.0004
560.51,1.0004
561.51,1.0004
562.51,1.0004
563.51,1.0004
564.51,1.0004
565.51,1.0003
566.51,1.0003
567.51,1.0003
568.51,1.0003
569.51,1.0003
570.51,1.0003
571.51,1.0003
572.51,1.0003
573.51,1.0003
574.51,1.0003
575.51,1.0003
576.51,1.0003
577.51,1.0003
578.51,1.0003
579.51,1.0003
580.51,1.0003
581.51,1.0003
582.51,1.0002
583.51,1.0002
584.51,1.0002
585.51,1.0002
586.51,1.0002
587.51,1.0002
588.51,1.0002
589.51,1.0002
590.51,1.0002
591.51,1.0002
592.51,1.0002
593.51,1.0002
594.51,1.0002
595.51,1.0002
596.51,1.0002
597.51,1.0002
598.51,1.0002
599.51,1.0002
600.51,1.0002
601.51,1.0002
602.51,1.0002
603.51,1.0002
604.51,1.0002
605.51,1.0002
606.51,1.0001
607.51,1.0001
608.51,1.0001
609.51,1.0001
610.51,1.0001
611.51,1.0001
612.51,1.0001
613.51,1.0001
614.51,1.0001
615.51,1.0001
616.51,1.0001
617.51,1.0001
618.51,1.0001
619.51,1.0001
620.51,1.0001
621.51,1.0001
622.51,1.0001
623.51,1.0001
624.51,1.0001
625.51,1.0001
626.51,1.0001
627.51,1.0001
628.51,1.0001
629.51,1.0001
630.51,1.0001
631.51,1.0001
632.51,1.0001
633.51,1.0001
634.51,1.0001
635.51,1.0001
636.51,1.0001
637.51,1.0001
638.51,1.0001
639.51,1.0001
640.51,1.0001
641.51,1.0001
642.51,1.0001
643.51,1.0001
644.51,1.0001
645.51,1.0001
646.51,1.0001
647.51,1.0001
648.51,1.0001
649.51,1.0001
650.51,1.0001
651.51,1.0001
652.51,1.0001
653.51,1.0001
654.51,1.0001
655.51,1.0001
656.51,1.0001
657.51,1.0001
658.51,1
659.51,1
660.51,1
661.51,1
662.51,1
663.51,1
664.51,1
665.51,1
666.51,1
667.51,1
668.51,1
669.51,1
670.51,1
671.51,1
672.51,1
673.51,1
674.51,1
675.51,1
676.51,1
677.51,1
678.51,1
679.51,1
680.51,1
681.51,1
682.51,1
683.51,1
684.51,1
685.51,1
686.51,1
687.51,1
688.51,1
689.51,1
690.51,1
691.51,1
692.51,1
693.51,1
694.51,1
695.51,1
696.51,1
697.51,1
698.51,1
699.51,1
700.51,1
701.51,1
702.51,1
703.51,1
704.51,1
705.51,1
706.51,1
707.51,1
708.51,1
709.51,1
710.51,1
711.51,1
712.51,1
713.51,1
714.51,1
715.51,1
716.51,1
717.51,1
718.51,1
719.51,1
720.51,1
721.51,1
722.51,1
723.51,1
724.51,1
725.51,1
726.51,1
727.51,1
728.51,1
729.51,1
730.51,1
731.51,1
732.51,1
733.51,1
734.51,1
735.51,1
736.51,1
737.51,1
738.51,1
739.51,1
740.51,1
741.51,1
742.51,1
743.51,1
744.51,1
745.51,1
746.51,1
747.51,1
748.51,1
749.51,1
750.51,1
751.51,1
752.51,1
753.51,1
754.51,1
755.51,1
756.51,1
757.51,1
758.51,1
759.51,1
760.51,1
761.51,1
762.51,1
763.51,1
764.51,1
765.51,1
766.51,1
767.51,1
768.51,1
769.51,1
770.51,1
771.51,1
772.51,1
773.51,1
774.51,1
775.51,1
776.51,1
777.51,1
778.51,1
779.51,1
780.51,1
781.51,1
782.51,1
783.51,1
784.51,1
785.51,1
786.51,1
787.51,1
788.51,1
789.51,1
790.51,1
791.51,1
792.51,1
793.51,1
794.51,1
795.51,1
796.51,1
797.51,1
798.51,1
799.51,1
800,1
